"FAILURECODE","DESCRIPTION"
"FALLA.FRENOIZA","RESBALAMIENTO POR FALLA FRENO IZAJE"
"FALLMOTOR","FALLA MOTORES"
"LECTUR.ANORMAL","LECTURA ANORMAL DE INSTRUMENTO"
"AUMENTEMPER","AUMENTO TEMPERATURA"
"ALTNIV.COJI","ALTO NIVEL EN COJINTE"
"PERDI.EFIC","PERDIDA DE EFICIENCIA"
"NO.EJEC.BLOQ","NO EJECUTA BLOQUEO"
"ATENEXPL","ATENTADO/EXPLOSION"
"DESPTERR","DESPLAZAMIENTO DEL TERRENO"
"SINACCESO","SIN ACCESO"
"PRESBASU","PRESENCIA DE RESIDUOS(BASURAS, GRASAS, HOJAS)"
"TAPPORTER","TAPONADO POR TERCEROS"
"MANDOSF_FALLA","MANDOS FINALES EN FALLA"
"ORUGAS_FALLAN","ORUGAS EN FALLA"
"IND.TRANT.ER","INDICACION TRANSMISOR DE TEMPERATURA ERRONEO"
"FLUJINTE","FLUJO INTERMITENTE"
"NOACEITECOJINE","NO DA ACEITE EN SEGMENTO DE COJINETE COMBINADO"
"CONTELECHIDRA","DANO DEL CONTROL ELECTROHIDRAÚLICO"
"NOFRECUENC","NO SUMINISTRA UNA FRECUENCIA"
"FRENADO","FRENADO"
"BAJAPRES","BAJA PRESIÓN"
"NOMUESVARIE","PERDIDA  INDICACION DE LAS VARIABLES ELECTRICAS"
"SIN TAPA","AUSENCIA DE TAPA"
"NO.RESPU","NO HAY RESPUESTA ANTE CAMBIOS"
"CONG.ESTAC","CONGELAMIENTO DE LA ESTACION"
"ESTRUCTU","ANGULERIA AVERIADA"
"PTO_ETHERNET","PUERTO ETHERNET"
"SUMI_AC","SUMINISTRO DE AC"
"NOINDCONMU","LA CONMUTACIÓN SE REALIZA PERO NO SE INDICA"
"FALLALIMENTAC","FALLA EN ALIMENTACION"
"FALLABATERIA","AUSENCIA DE VOLTAJE DC POR FALLA DE LAS BATERIAS"
"CAIDO","POSTE CAIDO"
"FALL.POR","FALLA CAJA PORTABORNERA"
"SOBRECAL","SOBRECALENTADA(O)"
"FRACTURAS","FRACTURA DEL SOPORTE"
"NUDF","NUCLEO DEFECTUOSO"
"IND.MED","NO HAY INDICACION O MEDIDA"
"OXID","OXIDACION"
"DET.OBRA","DETERIORO DE OBRA CIVIL"
"PERDCALO","PERDIDA CALOR"
"HILO.ROT","HILOS ROTOS"
"OUTDOOR","OUTDOOR"
"NOVENTILTRAFO","NO HAY VENTILACION EN TRANSFORMADOR DE EXITACION"
"FALLAFRENO","APLICO FRENOS PERO NO ALCANZO A FRENAR"
"APECIEALABEMAN","NO CONTROL APERTURA-CIERRE DE LOS ALABES MANUAL/"
"VALCHECMALA","VALVULA CHECK MALA"
"NOPOLOMAGNET","NO PRODUCE POLOS MAGNETICOS"
"NOCIEALAB.VALV","NO CIERRA LOS ALABES ACCIONANDO LA VÁLVULA"
"FILTRACION","FILTRACION DE AGUA A INSTALACIONES DE TERCEROS"
"OBSTRUID","CANALIZACION OBSTRUIDA"
"INEST.SOP.DE","INESTABILIDAD SOPORTE DE DESCARGA"
"DSAB","DEVANADO SECUNDARIO ABIERTO"
"PERD.MAT","PERDIDA DE MATERIAL"
"BASURAS","CAMARA CON BASURA"
"TIEMCIER130","TIEMPO DE CIERRE SUPERIOR A 130 mS"
"TIER.SUE","NO OPERATIVO POR FALTA DE CONEXION A TIERRA"
"FUGAREFRIGER","FUGA DE REFRIGERANTE"
"CONTAMINA","CONTAMINACION"
"NORECOL","NO RECOLECTA"
"NODESCA","NO DESCARGA"
"SOCAVACION","SOCAVACION"
"DANUCANU","DANO EN CANUELA"
"ACCESO","ACCESO"
"NUCLDESA","NUCLEO DESAJUSTADO"
"DESCON.PARAME","DESCONFIGURACION  PARAMETROS EN EL CONTROLADOR DE TEMPERATURA O TRANSDUCTOR DE NIVEL."
"PERDIDPRESI","PERDIDA DE PRESION EN EL SISTEMA"
"FALLAMOTOR","FALLA MOTOR"
"VOLSALI","VOLTAJE DE SALIDA / ENTRADA - ALTO/BAJO"
"PARPADEO","PARPADEO DE LA BOMBILLA"
"RUID.VIBRA","RUIDOS O ALTAS VIBRACIONES EN EQUIPO"
"TAPONADA","TUBERIA TAPONADA"
"SEDIMENT","ACUMULACION DE SEDIMENTOS"
"VERTIENDO","VERTIENDO"
"EMBRAGUE_FALLA","EMBRAGUE EN FALLA"
"LLANTAS_FALLA","LLANTAS EN FALLA"
"SUCCIO_PARCIAL","EQUIPO SUCCIONA PARCIALMENTE"
"DERFE","DEFORMACION DE EQUIPO"
